schluessel;Name;apothekenVorgabe
07132012;Brachbach; 0,638   
07132013;Breitscheidt; 0,252   
07132014;Bruchertseifen; 0,191   
07132015;B�rdenbach; 0,147   
07132016;Burglahr; 0,133   
07132017;Busenhausen; 0,091   
07132018;Daaden; 1,151   
07132019;Derschen; 0,279   
07132020;Dickendorf; 0,100   
07132022;Eichelhardt; 0,128   
07132023;Eichen; 0,147   
07132024;Elben; 0,091   
07132025;Elkenroth; 0,490   
07132026;Emmerzhausen; 0,187   
07132027;Ersfeld; 0,020   
07132028;Etzbach; 0,335   
07132029;Eulenberg; 0,014   
07132030;Fensdorf; 0,113   
07132031;Fiersbach; 0,068   
07132032;Flammersfeld; 0,350   
07132033;Fluterschen; 0,171   
07132034;Forst; 0,162   
07132035;Forstmehren; 0,042   
07132036;Friedewald; 0,297   
07132037;Friesenhagen; 0,428   
07132038;F�rthen; 0,315   
07132039;Gebhardshain; 0,510   
07132040;Gieleroth; 0,174   
07132041;Giershausen; 0,027   
07132042;Gr�nebach; 0,145   
07132043;G�llesheim; 0,183   
07132044;Hamm (Sieg); 0,903   
07132045;Harbach; 0,144   
07132046;Hasselbach; 0,087   
07132047;Helmenzen; 0,226   
07132048;Helmeroth; 0,050   
07132049;Hemmelzen; 0,065   
07132050;Herdorf, Stadt; 1,815   
07132051;Heupelzen; 0,069   
07132052;Hilgenroth; 0,080   
07132053;Hirz-Maulsbach; 0,086   
07132054;H�vels; 0,156   
07132055;Horhausen (Westerwald); 0,505   
07132056;Idelberg; 0,015   
07132057;Ingelbach; 0,140   
07132058;Isert; 0,039   
07132059;Kausen; 0,210   
07132060;Kescheid; 0,034   
07132061;Kettenhausen; 0,071   
07132062;Kircheib; 0,146   
07132063;Kirchen (Sieg), Stadt; 2,308   
07132064;Kraam; 0,048   
07132065;Krunkel; 0,164   
07132066;Malberg; 0,275   
07132067;Mammelzen; 0,271   
07132068;Mauden; 0,029   
07132069;Mehren; 0,135   
07132070;Michelbach (Westerwald); 0,145   
07132071;Molzhain; 0,143   
07132072;Mudersbach; 1,578   
07132073;Nauroth; 0,295   
07132074;Neitersen; 0,204   
07132075;Niederdreisbach; 0,243   
07132076;Niederfischbach; 1,181   
07132077;Niederirsen; 0,027   
07132078;Niedersteinebach; 0,057   
07132079;Nisterberg; 0,095   
07132080;Katzwinkel (Sieg); 0,497   
07132081;Obererbach (Westerwald); 0,144   
07132082;Oberirsen; 0,170   
07132083;Oberlahr; 0,200   
07132084;Obernau; 0,048   
07132085;Obersteinebach; 0,061   
07132086;Oberwambach; 0,115   
07132087;�lsen; 0,024   
07132088;Orfgen; 0,064   
07132089;Peterslahr; 0,081   
07132090;Pleckhausen; 0,204   
07132091;Pracht; 0,401   
07132092;Racksen; 0,040   
07132093;Reiferscheid; 0,109   
07132094;Rettersen; 0,099   
07132095;Rosenheim (Landkreis Altenkirchen); 0,208   
07132096;Roth; 0,393   
07132097;Rott; 0,097   
07132098;Scheuerfeld; 0,537   
07132099;Sch�neberg; 0,106   
07132100;Sch�rdt; 0,069   
07132101;Schutzbach; 0,103   
07132102;Seelbach bei Hamm (Sieg); 0,037   
07132103;Seelbach (Westerwald); 0,085   
07132104;Seifen; 0,033   
07132105;Selbach (Sieg); 0,209   
07132106;S�rth; 0,063   
07132107;Steinebach/ Sieg; 0,330   
07132108;Steineroth; 0,155   
07132109;St�rzelbach; 0,070   
07132110;Volkerzen; 0,023   
07132111;Wallmenroth; 0,326   
07132112;Walterschen; 0,040   
07132113;Weitefeld; 0,633   
07132114;Werkhausen; 0,063   
07132115;Weyerbusch; 0,366   
07132116;Willroth; 0,224   
07132117;Wissen, Stadt; 2,191   
07132118;W�lmersen; 0,096   
07132119;Ziegenhain; 0,037   
07132201;Berod bei Hachenburg; 0,147   
07132501;Altenkirchen (Westerwald), Stadt; 1,686   
07133001;Abtweiler; 0,056   
07133002;Allenfeld; 0,053   
07133003;Altenbamberg; 0,202   
07133004;Argenschwang; 0,093   
07133005;Auen; 0,048   
07133006;Bad Kreuznach, Stadt; 11,543   
07133007;Bad M�nster am Stein-Ebernburg, Stadt; 1,127   
07133008;B�renbach; 0,132   
07133009;B�rweiler; 0,065   
07133010;Becherbach bei Kirn; 0,106   
07133011;Becherbach; 0,244   
07133012;Biebelsheim; 0,177   
07133013;Bockenau; 0,337   
07133014;Boos; 0,101   
07133015;Braunweiler; 0,168   
07133016;Brauweiler; 0,018   
07133017;Breitenheim; 0,110   
07133018;Bretzenheim; 0,667   
07133019;Burgsponheim; 0,068   
07133020;Callbach; 0,107   
07133021;Dalberg; 0,066   
07133022;Daubach; 0,060   
07133023;Daxweiler; 0,214   
07133024;Desloch; 0,101   
07133025;D�rrebach; 0,185   
07133026;Dorsheim; 0,194   
07133027;Duchroth; 0,147   
07133028;Eckenroth; 0,061   
07133030;Feilbingert; 0,431   
07133031;Frei-Laubersheim; 0,272   
07133032;F�rfeld; 0,414   
07133033;Gebroth; 0,045   
07133035;Guldental; 0,679   
07133036;Gutenberg; 0,260   
07133037;Hackenheim; 0,553   
07133038;Hahnenbach; 0,144   
07133039;Hallgarten; 0,207   
07133040;Hargesheim; 0,749   
07133041;Heimweiler; 0,113   
07133042;Heinzenberg; 0,009   
07133043;Hennweiler; 0,333   
07133044;Hergenfeld; 0,132   
07133045;Hochst�tten; 0,167   
07133046;Hochstetten-Dhaun; 0,440   
07133047;Horbach; 0,012   
07133048;H�ffelsheim; 0,346   
07133049;Hundsbach; 0,104   
07133050;Ippenschied; 0,041   
07133051;Jeckenbach; 0,070   
07133052;Kirn, Stadt; 2,192   
07133053;Kirschroth; 0,072   
07133054;Langenlonsheim; 1,004   
07133055;Langenthal; 0,026   
07133056;Laubenheim; 0,207   
07133057;Lauschied; 0,151   
07133058;Lettweiler; 0,060   
07133059;Limbach; 0,086   
07133060;L�llbach; 0,059   
07133061;Mandel; 0,243   
07133062;Martinstein; 0,081   
07133063;Meckenbach; 0,103   
07133064;Meddersheim; 0,352   
07133065;Meisenheim, Stadt; 0,766   
07133066;Merxheim; 0,385   
07133067;Monzingen; 0,435   
07133068;M�nchwald; 0,081   
07133069;Neu-Bamberg; 0,245   
07133070;Niederhausen; 0,143   
07133071;Norheim; 0,397   
07133072;Nu�baum; 0,122   
07133073;Oberhausen bei Kirn; 0,250   
07133074;Oberhausen an der Nahe; 0,098   
07133075;Oberstreit; 0,074   
07133076;Odernheim am Glan; 0,460   
07133077;Otzweiler; 0,057   
07133078;Pfaffen-Schwabenheim; 0,348   
07133080;Pleitersheim; 0,090   
07133081;Raumbach; 0,111   
07133082;Rehbach; 0,013   
07133083;Rehborn; 0,194   
07133084;Reiffelbach; 0,065   
07133085;Roth; 0,072   
07133086;Roxheim; 0,633   
07133087;R�mmelsheim; 0,363   
07133088;Sankt Katharinen; 0,099   
07133089;Schlo�b�ckelheim; 0,108   
07133090;Schmittweiler; 0,055   
07133091;Sch�neberg; 0,171   
07133092;Schweinschied; 0,045   
07133093;Schweppenhausen; 0,242   
07133094;Seesbach; 0,149   
07133095;Seibersbach; 0,356   
07133096;Simmertal; 0,491   
07133098;Sommerloch; 0,115   
07133099;Spabr�cken; 0,304   
07133100;Spall; 0,046   
07133101;Sponheim; 0,212   
07133102;Staudernheim; 0,380   
07133103;Stromberg, Stadt; 0,850   
07133104;Tiefenthal; 0,034   
07133105;Traisen; 0,145   
07133106;Volxheim; 0,288   
07133107;Waldb�ckelheim; 0,597   
07133108;Waldlaubersheim; 0,212   
07133109;Wallhausen; 0,425   
07133110;Warmsroth; 0,116   
07133111;Weiler bei Monzingen; 0,126   
07133112;Weinsheim; 0,495   
07133113;Weitersborn; 0,063   
07133114;Windesheim; 0,476   
07133115;Winterbach; 0,128   
07133116;Winterburg; 0,054   
07133117;R�desheim; 0,660   
07133201;Bruschied; 0,073   
07133202;Kellenbach; 0,069   
07133203;K�nigsau; 0,020   
07133204;Schneppenbach; 0,068   
07133205;Schwarzerden; 0,067   
07133501;Bad Sobernheim, Stadt; 1,735   
07134001;Abentheuer; 0,123   
07134002;Achtelsbach; 0,115   
07134003;Allenbach; 0,173   
07134004;Asbach; 0,046   
07134005;Baumholder, Stadt; 1,163   
07134006;Bergen; 0,120   
07134007;Berglangenbach; 0,120   
07134008;Berschweiler bei Baumholder; 0,138   
07134009;Berschweiler bei Kirn; 0,071   
07134010;Birkenfeld, Stadt; 1,782   
07134011;B�rfink; 0,051   
07134012;Bollenbach; 0,038   
07134013;Breitenthal; 0,083   
07134014;Bruchweiler; 0,136   
07134015;Br�cken; 0,329   
07134016;Buhlenberg; 0,128   
07134017;Bundenbach; 0,250   
07134018;Dambach; 0,041   
07134019;Dickesbach; 0,116   
07134020;Dienstweiler; 0,078   
07134021;Eckersweiler; 0,039   
07134022;Elchweiler; 0,025   
07134023;Ellenberg; 0,026   
07134024;Ellweiler; 0,080   
07134025;Fischbach; 0,245   
07134026;Fohren-Linden; 0,091   
07134027;Frauenberg; 0,108   
07134028;Gerach; 0,064   
07134029;Gimbweiler; 0,112   
07134030;G�senroth; 0,070   
07134031;Gollenberg; 0,036   
07134032;Griebelschied; 0,048   
07134033;Hahnweiler; 0,056   
07134034;Hattgenstein; 0,070   
07134035;Hausen; 0,051   
07134036;Heimbach; 0,291   
07134037;Hellertshausen; 0,054   
07134038;Herborn; 0,143   
07134039;Herrstein; 0,228   
07134040;Hettenrodt; 0,188   
07134041;Hintertiefenbach; 0,100   
07134042;Hoppst�dten-Weiersbach; 0,779   
07134043;Horbruch; 0,097   
07134044;Hottenbach; 0,164   
07134045;Idar-Oberstein, Stadt; 7,708   
07134046;Kempfeld; 0,224   
07134047;Kirschweiler; 0,296   
07134048;Kronweiler; 0,088   
07134049;Krummenau; 0,046   
07134050;Leisel; 0,154   
07134051;Leitzweiler; 0,029   
07134052;Mackenrodt; 0,114   
07134053;Meckenbach; 0,031   
07134054;Mettweiler; 0,068   
07134055;Mittelreidenbach; 0,208   
07134056;M�rschied; 0,215   
07134057;Niederbrombach; 0,129   
07134058;Niederhambach; 0,088   
07134059;Niederhosenbach; 0,084   
07134060;Niederw�rresbach; 0,241   
07134061;Nohen; 0,105   
07134062;Oberbrombach; 0,119   
07134063;Oberhambach; 0,078   
07134064;Oberhosenbach; 0,041   
07134065;Oberkirn; 0,086   
07134066;Oberreidenbach; 0,167   
07134067;Oberw�rresbach; 0,039   
07134068;Reichenbach; 0,161   
07134069;Rhaunen; 0,584   
07134070;Rimsberg; 0,035   
07134071;Rinzenberg; 0,082   
07134072;R�tsweiler-Nockenthal; 0,127   
07134073;Rohrbach; 0,055   
07134074;R�ckweiler; 0,109   
07134075;Ruschberg; 0,219   
07134076;Schauren; 0,139   
07134077;Schmidthachenbach; 0,103   
07134078;Schmi�berg; 0,056   
07134079;Schwerbach; 0,014   
07134080;Schwollen; 0,126   
07134081;Sensweiler; 0,119   
07134082;Sien; 0,138   
07134083;Sienhachenbach; 0,056   
07134084;Siesbach; 0,101   
07134085;Sonnenberg-Winnenberg; 0,127   
07134086;Sonnschied; 0,033   
07134087;Stipshausen; 0,238   
07134088;Sulzbach; 0,082   
07134089;Veitsrodt; 0,175   
07134090;Vollmersbach; 0,134   
07134091;Weiden; 0,027   
07134092;Weitersbach; 0,021   
07134093;Wickenrodt; 0,044   
07134094;Wilzenberg-Hu�weiler; 0,085   
07134095;Wirschweiler; 0,089   
07134502;Langweiler; 0,072   
07135001;Alf; 0,232   
07135002;Alflen; 0,226   
07135003;Altlay; 0,127   
07135004;Altstrimmig; 0,091   
07135005;Auderath; 0,161   
07135007;Beilstein; 0,036   
07135008;Beuren; 0,121   
07135009;Binningen; 0,188   
07135010;Blankenrath; 0,461   
07135011;Brachtendorf; 0,072   
07135012;Bremm; 0,216   
07135013;Briedel; 0,267   
07135014;Brieden; 0,037   
07135015;Briedern; 0,089   
07135016;Brohl; 0,103   
07135017;Bruttig-Fankel; 0,291   
07135018;B�chel; 0,305   
07135019;Bullay; 0,400   
07135020;Cochem, Stadt; 1,397   
07135021;Dohr; 0,178   
07135022;D�nfus; 0,081   
07135023;D�ngenheim; 0,349   
07135024;Ediger-Eller; 0,279   
07135025;Ellenz-Poltersdorf; 0,231   
07135026;Eppenberg; 0,064   
07135027;Ernst; 0,145   
07135028;Eulgem; 0,059   
07135029;Faid; 0,292   
07135030;Filz; 0,024   
07135031;Forst (Eifel); 0,101   
07135032;Forst (Hunsr�ck); 0,018   
07135033;Gamlen; 0,144   
07135034;Gevenich; 0,170   
07135035;Gillenbeuren; 0,066   
07135036;Greimersburg; 0,185   
07135037;Grenderich; 0,105   
07135038;Hambuch; 0,198   
07135039;Haserich; 0,056   
07135040;Hauroth; 0,082   
07135041;Hesweiler; 0,034   
07135042;Illerich; 0,192   
07135043;Kaifenheim; 0,218   
07135044;Kail; 0,079   
07135045;Kaisersesch, Stadt; 0,807   
07135046;Kalenborn; 0,058   
07135048;Kliding; 0,061   
07135049;Klotten; 0,343   
07135050;Lahr; 0,048   
07135051;Landkern; 0,248   
07135052;Laubach; 0,181   
07135053;Lieg; 0,106   
07135054;Liesenich; 0,084   
07135056;L�tz; 0,089   
07135057;Lutzerath; 0,405   
07135058;Masburg; 0,293   
07135060;Mesenich; 0,082   
07135061;Mittelstrimmig; 0,111   
07135062;M�ntenich; 0,036   
07135063;M�rsdorf; 0,167   
07135064;Moritzheim; 0,037   
07135065;Moselkern; 0,158   
07135066;M�den (Mosel); 0,179   
07135067;M�llenbach; 0,175   
07135068;Neef; 0,124   
07135069;Nehren; 0,030   
07135070;Panzweiler; 0,072   
07135071;Peterswald-L�ffelscheid; 0,200   
07135072;Pommern; 0,118   
07135073;P�nderich; 0,238   
07135074;Reidenhausen; 0,050   
07135075;Roes; 0,136   
07135076;Sankt Aldegund; 0,171   
07135077;Schauren; 0,109   
07135078;Schmitt; 0,034   
07135079;Senheim; 0,157   
07135080;Sosberg; 0,046   
07135081;Tellig; 0,074   
07135082;Treis-Karden; 0,604   
07135083;Ulmen, Stadt; 0,888   
07135084;Urmersbach; 0,114   
07135085;Urschmitt; 0,056   
07135086;Valwig; 0,116   
07135087;Wagenhausen; 0,016   
07135088;Walhausen; 0,059   
07135089;Weiler; 0,085   
07135090;Wirfus; 0,051   
07135091;Wollmerath; 0,055   
07135092;Zell (Mosel), Stadt; 1,108   
07135093;Zettingen; 0,070   
07135094;Zilshausen; 0,077   
07135501;Bad Bertrich; 0,269   
07135502;Leienkaul; 0,089   
07137001;Acht; 0,021   
07137003;Andernach, Stadt; 7,754   
07137004;Anschau; 0,077   
07137006;Arft; 0,072   
07137007;Baar; 0,207   
07137008;Bell; 0,369   
07137011;Bermel; 0,098   
07137014;Boos; 0,166   
07137019;Ditscheid; 0,072   
07137023;Einig; 0,039   
07137025;Ettringen; 0,736   
07137027;Gappenach; 0,085   
07137029;Gering; 0,108   
07137030;Gierschnach; 0,077   
07137034;Hausten; 0,107   
07137035;Herresbach; 0,128   
07137036;Hirten; 0,070   
07137041;Kalt; 0,124   
07137043;Kehrig; 0,320   
07137048;Kerben; 0,121   
07137049;Kirchwald; 0,252   
07137053;Kollig; 0,135   
07137055;Kottenheim; 0,721   
07137056;Kretz; 0,193   
07137057;Kruft; 1,051   
07137060;Langenfeld; 0,183   
07137061;Langscheid; 0,026   
07137063;Lind; 0,014   
07137065;Lonnig; 0,314   
07137066;Luxem; 0,080   
07137068;Mayen, Stadt; 4,968   
07137069;Mendig, Stadt; 2,305   
07137070;Mertloch; 0,374   
07137074;Monreal; 0,223   
07137077;M�nk; 0,067   
07137079;Nachtsheim; 0,149   
07137080;Naunheim; 0,118   
07137081;Nickenich; 0,978   
07137086;Ochtendung; 1,398   
07137087;Pillig; 0,128   
07137088;Plaidt; 1,551   
07137089;Polch, Stadt; 1,768   
07137092;Reudelsterz; 0,102   
07137093;Rieden; 0,326   
07137095;R�ber; 0,235   
07137096;Saffig; 0,591   
07137097;Sankt Johann; 0,248   
07137099;Siebenbach; 0,053   
07137101;Th�r; 0,406   
07137102;Trimbs; 0,164   
07137105;Virneburg; 0,102   
07137106;Volkesfeld; 0,153   
07137110;Weiler; 0,132   
07137112;Welling; 0,240   
07137113;Welschenbach; 0,014   
07137114;Wierschem; 0,091   
07137201;Alken; 0,176   
07137202;Bassenheim; 0,796   
07137203;Bendorf, Stadt; 4,417   
07137204;Brey; 0,415   
07137205;Brodenbach; 0,159   
07137206;Burgen; 0,202   
07137207;Dieblich; 0,634   
07137208;Hatzenport; 0,166   
07137209;Kaltenengers; 0,550   
07137211;Kettig; 0,885   
07137212;Kobern-Gondorf; 0,865   
07137214;L�f; 0,377   
07137215;Macken; 0,098   
07137216;M�lheim-K�rlich, Stadt; 2,876   
07137217;Niederfell; 0,277   
07137218;Niederwerth; 0,364   
07137219;N�rtershausen; 0,304   
07137220;Oberfell; 0,292   
07137221;Rhens, Stadt; 0,782   
07137222;Sankt Sebastian; 0,670   
07137223;Spay; 0,505   
07137224;Urbar; 0,854   
07137225;Urmitz; 0,937   
07137226;Vallendar, Stadt; 2,246   
07137227;Waldesch; 0,593   
07137228;Wei�enthurm, Stadt; 2,193   
07137229;Weitersburg; 0,627   
07137230;Winningen; 0,663   
07137231;Wolken; 0,290   
07137501;M�nstermaifeld, Stadt; 0,933   
07137504;Lehmen; 0,369   
07138002;Anhausen; 0,353   
07138003;Asbach; 1,906   
07138004;Bad H�nningen, Stadt; 1,544   
07138005;Bonefeld; 0,258   
07138006;Breitscheid; 0,570   
07138007;Hausen (Wied); 0,513   
07138008;Bruchhausen; 0,238   
07138009;Dattenberg; 0,418   
07138010;Datzeroth; 0,063   
07138011;Dernbach; 0,270   
07138012;Dierdorf, Stadt; 1,553   
07138013;D�ttesfeld; 0,165   
07138014;D�rrholz; 0,331   
07138015;Ehlscheid; 0,345   
07138019;Erpel; 0,676   
07138023;Gro�maischeid; 0,626   
07138024;Hammerstein; 0,086   
07138025;Hanroth; 0,165   
07138026;Hardert; 0,212   
07138027;Harschbach; 0,111   
07138030;H�mmerich; 0,210   
07138031;Isenburg; 0,163   
07138034;Kleinmaischeid; 0,366   
07138036;Kurtscheid; 0,253   
07138037;Leubsdorf; 0,431   
07138038;Leutesdorf; 0,496   
07138040;Linkenbach; 0,124   
07138041;Linz am Rhein, Stadt; 1,573   
07138042;Meinborn; 0,134   
07138043;Melsbach; 0,533   
07138044;Neustadt (Wied); 1,676   
07138045;Neuwied, Stadt; 17,107   
07138047;Niederbreitbach; 0,419   
07138048;Niederhofen; 0,105   
07138050;Niederwambach; 0,117   
07138052;Oberdreis; 0,232   
07138053;Oberhonnefeld-Gierend; 0,272   
07138054;Oberraden; 0,169   
07138055;Ockenfels; 0,274   
07138057;Puderbach; 0,647   
07138058;Ratzert; 0,065   
07138059;Raubach; 0,514   
07138061;Rengsdorf; 0,699   
07138062;Rheinbreitbach; 1,187   
07138063;Rheinbrohl; 1,039   
07138064;Rodenbach bei Puderbach; 0,183   
07138065;Ro�bach; 0,401   
07138066;R�scheid; 0,209   
07138068;Sankt Katharinen (Landkreis Neuwied); 0,909   
07138069;Stebach; 0,082   
07138070;Steimel; 0,329   
07138071;Stra�enhaus; 0,503   
07138072;Thalhausen; 0,198   
07138073;Unkel, Stadt; 1,347   
07138074;Urbach; 0,408   
07138075;Vettelscho�; 0,920   
07138076;Waldbreitbach; 0,502   
07138077;Windhagen; 1,133   
07138078;Woldert; 0,158   
07138080;Buchholz (Westerwald); 1,192   
07138201;Marienhausen; 0,136   
07138501;Kasbach-Ohlenberg; 0,360   
07140001;Alterk�lz; 0,110   
07140002;Altweidelbach; 0,064   
07140003;Argenthal; 0,443   
07140005;Badenhard; 0,038   
07140006;B�renbach; 0,117   
07140007;Belg; 0,037   
07140008;Belgweiler; 0,056   
07140009;Bell (Hunsr�ck); 0,392   
07140010;Beltheim; 0,529   
07140011;Benzweiler; 0,054   
07140012;Bergenhausen; 0,032   
07140014;Bickenbach; 0,091   
07140015;Biebern; 0,085   
07140016;Birkheim; 0,038   
07140018;Braunshorn; 0,159   
07140020;Bubach; 0,077   
07140021;Buch; 0,250   
07140023;Budenbach; 0,047   
07140024;B�chenbeuren; 0,439   
07140025;Damscheid; 0,168   
07140027;Dichtelbach; 0,180   
07140028;Dickenschied; 0,196   
07140029;Dill; 0,051   
07140030;Dillendorf; 0,161   
07140031;D�rth; 0,139   
07140035;Ellern (Hunsr�ck); 0,219   
07140036;Emmelshausen, Stadt; 1,281   
07140037;Erbach; 0,070   
07140039;Fronhofen; 0,060   
07140040;Gehlweiler; 0,064   
07140041;Gem�nden; 0,338   
07140042;G�denroth; 0,130   
07140043;Gondershausen; 0,335   
07140044;Hahn; 0,048   
07140045;Halsenbach; 0,329   
07140046;Hasselbach; 0,047   
07140047;Hausbay; 0,053   
07140048;Hecken; 0,032   
07140049;Heinzenbach; 0,111   
07140050;Henau; 0,040   
07140053;Hirschfeld (Hunsr�ck); 0,084   
07140055;Hollnich; 0,078   
07140056;Holzbach; 0,139   
07140058;Horn; 0,096   
07140060;Hungenroth; 0,064   
07140062;Kappel; 0,130   
07140063;Karbach; 0,155   
07140064;Kastellaun, Stadt; 1,366   
07140065;Keidelheim; 0,080   
07140067;Kirchberg (Hunsr�ck), Stadt; 1,011   
07140068;Kisselbach; 0,149   
07140070;Klosterkumbd; 0,075   
07140071;Kludenbach; 0,029   
07140073;Korweiler; 0,023   
07140075;Kratzenburg; 0,108   
07140076;K�lz (Hunsr�ck); 0,134   
07140077;K�mbdchen; 0,136   
07140079;Laubach; 0,116   
07140080;Laudert; 0,107   
07140081;Laufersweiler; 0,227   
07140082;Lautzenhausen; 0,094   
07140084;Leiningen; 0,198   
07140085;Liebshausen; 0,133   
07140086;Lindenschied; 0,054   
07140087;Lingerhahn; 0,126   
07140089;Maisborn; 0,035   
07140090;Maitzborn; 0,029   
07140092;Mengerschied; 0,195   
07140093;Mermuth; 0,071   
07140094;Metzenhausen; 0,034   
07140095;Michelbach; 0,046   
07140096;M�rschbach; 0,087   
07140098;M�hlpfad; 0,019   
07140099;Mutterschied; 0,134   
07140100;Nannhausen; 0,136   
07140101;Neuerkirch; 0,077   
07140102;Ney; 0,096   
07140104;Niederburg; 0,186   
07140105;Nieder Kostenz; 0,051   
07140106;Niederkumbd; 0,083   
07140107;Niedersohren; 0,121   
07140108;Niedert; 0,038   
07140109;Niederweiler; 0,105   
07140110;Norath; 0,121   
07140111;Ober Kostenz; 0,071   
07140112;Oberwesel, Stadt; 0,768   
07140113;Ohlweiler; 0,090   
07140115;Oppertshausen; 0,033   
07140116;Perscheid; 0,100   
07140117;Pfalzfeld; 0,162   
07140118;Pleizenhausen; 0,066   
07140119;Ravengiersburg; 0,084   
07140120;Raversbeuren; 0,033   
07140121;Rayerschied; 0,030   
07140122;Reckershausen; 0,103   
07140123;Reich; 0,094   
07140125;Rheinb�llen, Stadt; 1,059   
07140126;Riegenroth; 0,053   
07140127;Riesweiler; 0,198   
07140128;R�delhausen; 0,040   
07140129;R�dern; 0,056   
07140130;Rohrbach; 0,046   
07140131;Roth; 0,068   
07140133;Sankt Goar, Stadt; 0,732   
07140134;Sargenroth; 0,117   
07140135;Schlierschied; 0,049   
07140138;Schnorbach; 0,062   
07140139;Sch�nborn; 0,070   
07140140;Schwall; 0,094   
07140141;Schwarzen; 0,035   
07140144;Simmern/ Hunsr�ck, Stadt; 2,032   
07140145;Sohren; 0,875   
07140146;Sohrschied; 0,024   
07140147;Spesenroth; 0,040   
07140148;Steinbach; 0,035   
07140149;Th�rlingen; 0,042   
07140150;Tiefenbach; 0,203   
07140151;Todenroth; 0,024   
07140153;Uhler; 0,104   
07140154;Unzenberg; 0,114   
07140155;Urbar; 0,196   
07140156;Utzenhain; 0,031   
07140158;Wahlbach; 0,045   
07140159;Wahlenau; 0,053   
07140161;Wiebelsheim; 0,177   
07140163;Womrath; 0,057   
07140164;Woppenroth; 0,072   
07140165;W�rrich; 0,040   
07140166;W�schheim; 0,079   
07140201;Beulich; 0,131   
07140202;Dommershausen; 0,302   
07140204;Mastershausen; 0,271   
07140205;Morshausen; 0,097   
07140501;Boppard, Stadt; 4,090   
07141001;Allendorf; 0,175   
07141002;Altendiez; 0,592   
07141003;Attenhausen; 0,113   
07141004;Auel; 0,052   
07141005;Aull; 0,113   
07141006;Bad Ems, Stadt; 2,396   
07141008;Becheln; 0,175   
07141009;Berg; 0,066   
07141010;Berghausen; 0,085   
07141011;Berndroth; 0,106   
07141012;Bettendorf; 0,091   
07141013;Biebrich; 0,090   
07141014;Birlenbach; 0,397   
07141015;Bogel; 0,205   
07141016;Bornich; 0,280   
07141018;Bremberg; 0,073   
07141019;Buch; 0,159   
07141020;Burgschwalbach; 0,274   
07141021;Charlottenberg; 0,042   
07141022;Cramberg; 0,136   
07141023;Dachsenhausen; 0,278   
07141024;Dahlheim; 0,231   
07141025;Dausenau; 0,341   
07141026;Dessighofen; 0,049   
07141027;Dienethal; 0,061   
07141029;Diez, Stadt; 2,886   
07141030;D�rnberg; 0,128   
07141031;D�rscheid; 0,109   
07141032;D�rsdorf; 0,115   
07141033;Dornholzhausen; 0,060   
07141034;Ebertshausen; 0,034   
07141035;Ehr; 0,020   
07141036;Eisighofen; 0,070   
07141037;Endlichhofen; 0,041   
07141038;Eppenrod; 0,193   
07141039;Ergeshausen; 0,038   
07141040;Eschbach; 0,044   
07141041;Fachbach; 0,336   
07141042;Filsen; 0,171   
07141043;Flacht; 0,285   
07141044;Fr�cht; 0,163   
07141045;Geilnau; 0,099   
07141046;Geisig; 0,097   
07141047;Gemmerich; 0,148   
07141049;G�ckingen; 0,278   
07141050;Gutenacker; 0,099   
07141051;Hahnst�tten; 0,790   
07141052;Hambach; 0,124   
07141053;Heistenbach; 0,289   
07141054;Herold; 0,116   
07141055;Himmighofen; 0,083   
07141057;Hirschberg; 0,101   
07141058;H�mberg; 0,096   
07141059;Holzappel; 0,291   
07141060;Holzhausen an der Haide; 0,320   
07141061;Holzheim; 0,236   
07141062;Horhausen; 0,074   
07141063;Hunzel; 0,069   
07141064;Isselbach; 0,107   
07141065;Kaltenholzhausen; 0,156   
07141066;Kamp-Bornhofen; 0,423   
07141067;Kasdorf; 0,060   
07141068;Katzenelnbogen, Stadt; 0,589   
07141069;Kaub, Stadt; 0,234   
07141070;Kehlbach; 0,047   
07141071;Kemmenau; 0,121   
07141072;Kestert; 0,169   
07141073;Klingelbach; 0,184   
07141074;K�rdorf; 0,146   
07141075;Lahnstein, Stadt; 4,704   
07141076;Langenscheid; 0,143   
07141077;Laurenburg; 0,086   
07141078;Lautert; 0,074   
07141079;Lierschied; 0,130   
07141080;Lipporn; 0,075   
07141081;Lohrheim; 0,150   
07141082;Lollschied; 0,054   
07141083;Lykershausen; 0,058   
07141084;Marienfels; 0,082   
07141085;Miehlen; 0,527   
07141086;Miellen; 0,102   
07141087;Misselberg; 0,023   
07141088;Mittelfischbach; 0,033   
07141089;Mudershausen; 0,109   
07141091;Nassau, Stadt; 1,232   
07141092;Nast�tten, Stadt; 1,112   
07141093;Netzbach; 0,098   
07141094;Niederbachheim; 0,071   
07141095;Niederneisen; 0,386   
07141096;Niedertiefenbach; 0,061   
07141097;Niederwallmenach; 0,112   
07141098;Nievern; 0,263   
07141099;Nochern; 0,140   
07141100;Oberbachheim; 0,053   
07141101;Oberfischbach; 0,045   
07141102;Oberneisen; 0,197   
07141103;Obernhof; 0,096   
07141104;Obertiefenbach; 0,105   
07141105;Oberwallmenach; 0,053   
07141106;Oberwies; 0,039   
07141107;Oelsberg; 0,143   
07141108;Osterspai; 0,334   
07141109;Patersberg; 0,107   
07141110;Hainau; 0,045   
07141111;Pohl; 0,092   
07141112;Prath; 0,088   
07141113;Reckenroth; 0,057   
07141114;Reichenberg; 0,049   
