schluessel;Name;apothekenVorgabe
01053061;Kastorf; 0,297   
01053062;Kittlitz; 0,061   
01053064;Klein Pampau; 0,154   
01053066;Klein Zecher; 0,060   
01053067;Klempau; 0,154   
01053068;Klinkrade; 0,152   
01053069;Koberg; 0,192   
01053070;K�thel; 0,068   
01053071;Kollow; 0,152   
01053072;Kr�ppelshagen-Fahrendorf; 0,293   
01053073;Kr�zen; 0,090   
01053074;Krukow; 0,041   
01053075;Krummesse; 0,441   
01053076;Kuddew�rde; 0,339   
01053077;K�hsen; 0,095   
01053078;Kulpin; 0,055   
01053079;Labenz; 0,214   
01053080;Langenlehsten; 0,043   
01053081;Lankau; 0,124   
01053082;Lanze; 0,070   
01053083;Lauenburg/ Elbe, Stadt; 2,809   
01053084;Lehmrade; 0,122   
01053085;Linau; 0,302   
01053086;L�chow; 0,072   
01053087;L�tau; 0,180   
01053088;Mechow; 0,028   
01053089;M�hnsen; 0,137   
01053090;M�lln, Stadt; 4,638   
01053091;M�hlenrade; 0,045   
01053092;M�ssen; 0,251   
01053093;Mustin; 0,191   
01053094;Niendorf bei Berkenthin; 0,049   
01053095;Niendorf/ Stecknitz; 0,163   
01053096;Nusse; 0,273   
01053097;Panten; 0,160   
01053098;Pogeez; 0,096   
01053099;Poggensee; 0,086   
01053100;Ratzeburg, Stadt; 3,430   
01053101;Ritzerau; 0,069   
01053102;R�mnitz; 0,014   
01053103;Rondeshagen; 0,210   
01053104;Roseburg; 0,127   
01053106;Sahms; 0,094   
01053107;Salem; 0,151   
01053108;Sandesneben; 0,428   
01053109;Schiphorst; 0,153   
01053110;Schmilau; 0,137   
01053111;Schnakenbek; 0,210   
01053112;Sch�nberg; 0,348   
01053113;Schretstaken; 0,122   
01053114;Sch�rens�hlen; 0,038   
01053115;Schulendorf; 0,116   
01053116;Schwarzenbek, Stadt; 3,774   
01053117;Seedorf; 0,137   
01053118;Siebenb�umen; 0,163   
01053119;Siebeneichen; 0,067   
01053120;Sierksrade; 0,089   
01053121;Sirksfelde; 0,080   
01053122;Steinhorst; 0,143   
01053123;Sterley; 0,239   
01053124;Stubben; 0,099   
01053125;Talkau; 0,130   
01053126;Tramm; 0,085   
01053127;Walksfelde; 0,046   
01053128;Wangelau; 0,058   
01053129;Wentorf bei Hamburg; 2,981   
01053130;Wentorf (Amt Sandesneben); 0,173   
01053131;Wiershop; 0,041   
01053132;Witzeeze; 0,225   
01053133;Wohltorf; 0,610   
01053134;Woltersdorf; 0,074   
01053135;Worth; 0,042   
01053136;Ziethen; 0,251   
01054001;Achtrup; 0,381   
01054002;Ahrensh�ft; 0,127   
01054003;Ahrenvi�l; 0,131   
01054004;Ahrenvi�lfeld; 0,063   
01054005;Alkersum; 0,108   
01054006;Almdorf; 0,140   
01054007;Arlewatt; 0,083   
01054009;Aventoft; 0,117   
01054010;Bargum; 0,153   
01054011;Behrendorf; 0,141   
01054012;Bohmstedt; 0,185   
01054013;Bondelum; 0,052   
01054014;Bordelum; 0,510   
01054015;Borgsum; 0,086   
01054016;Bosb�ll; 0,054   
01054017;Braderup; 0,167   
01054018;Bramstedtlund; 0,048   
01054019;Bredstedt, Stadt; 1,276   
01054020;Breklum; 0,594   
01054022;Dageb�ll; 0,231   
01054023;Drage; 0,157   
01054024;Drelsdorf; 0,316   
01054025;Dunsum; 0,017   
01054026;Elisabeth-Sophien-Koog; 0,010   
01054027;Ellh�ft; 0,028   
01054032;Fresendelf; 0,024   
01054033;Friedrichstadt, Stadt; 0,644   
01054034;Friedrich-Wilhelm-L�bke-Koog; 0,047   
01054035;Garding, Kirchspiel; 0,100   
01054036;Garding, Stadt; 0,623   
01054037;Goldebek; 0,088   
01054038;Goldelund; 0,102   
01054039;Gr�de; 0,003   
01054040;Grothusenkoog; 0,006   
01054041;Haselund; 0,228   
01054042;Hattstedt; 0,646   
01054043;Hattstedtermarsch; 0,077   
01054045;H�gel; 0,116   
01054046;H�rnum (Sylt); 0,222   
01054048;Holm; 0,020   
01054050;Hallig Hooge; 0,027   
